time_seconds,group,isc_mean,ci_low,ci_high,n,isc_definition,segment_label
273.0,TD,0.026931862082170625,-0.06142493384487909,0.11528865800922034,,within_group_loo,Neutral
273.0,ASD,0.09536248289957788,-0.0005468942608686522,0.19127186006002442,,within_group_loo,Neutral
273.5,TD,0.019426616665042484,-0.08102948310022497,0.11988271643030994,,within_group_loo,Neutral
273.5,ASD,0.06152820466866304,-0.046881622418127745,0.16993803175545383,,within_group_loo,Neutral
274.0,TD,0.10402942195069573,-0.011780279136479888,0.21983912303787134,,within_group_loo,Neutral
274.0,ASD,-0.018090421181617754,-0.12314319410190633,0.08696235173867081,,within_group_loo,Neutral
274.5,TD,0.17056618528042744,0.05102753797342681,0.2901048325874281,,within_group_loo,Neutral
274.5,ASD,0.07722187002664999,-0.043467262951014926,0.1979110030043149,,within_group_loo,Neutral
275.0,TD,0.20831028131676382,0.0939900804282783,0.32263048220524937,,within_group_loo,Neutral
275.0,ASD,0.07697363444883779,-0.04331547110690044,0.197262740004576,,within_group_loo,Neutral
275.5,TD,0.13332268140725365,0.023889009193118232,0.24275635362138906,,within_group_loo,Neutral
275.5,ASD,0.06967007588320967,-0.04360982017320003,0.18294997193961937,,within_group_loo,Neutral
276.0,TD,0.08931653243296453,-0.012058271751277813,0.19069133661720689,,within_group_loo,Neutral
276.0,ASD,0.06501234416046342,-0.04064370150525566,0.1706683898261825,,within_group_loo,Neutral
276.5,TD,0.12934994835699654,0.036025963542106604,0.22267393317188647,,within_group_loo,Neutral
276.5,ASD,0.06807995306361757,-0.04285962567362213,0.17901953180085728,,within_group_loo,Neutral
277.0,TD,0.1416447096851819,0.05595782945035316,0.22733158992001062,,within_group_loo,Neutral
277.0,ASD,0.053174119392137696,-0.03554512900943999,0.1418933677937154,,within_group_loo,Neutral
277.5,TD,0.10602659264559719,0.00274306650733791,0.20931011878385647,,within_group_loo,Neutral
277.5,ASD,0.06774426537206896,-0.02374198986513079,0.1592305206092687,,within_group_loo,Neutral
278.0,TD,0.14303900317260765,0.044111535889898135,0.24196647045531716,,within_group_loo,Neutral
278.0,ASD,0.04054788834576598,-0.05576497414948165,0.13686075084101362,,within_group_loo,Neutral
278.5,TD,0.20204319213883876,0.13035304785371368,0.2737333364239638,,within_group_loo,Neutral
278.5,ASD,0.11855008788932762,0.031734300837377535,0.20536587494127773,,within_group_loo,Neutral
279.0,TD,0.18538899838275943,0.10127731670388641,0.26950068006163247,,within_group_loo,Neutral
279.0,ASD,0.09860653664961334,-0.01870336123293942,0.2159164345321661,,within_group_loo,Neutral
279.5,TD,0.204206602862935,0.11498329765395851,0.2934299080719115,,within_group_loo,Neutral
279.5,ASD,0.08800384311836452,-0.03552993560691989,0.21153762184364894,,within_group_loo,Neutral
280.0,TD,0.18987892418107585,0.0987065139400165,0.2810513344221352,,within_group_loo,Neutral
280.0,ASD,0.11270595672575152,-0.005894196606203703,0.23130611005770674,,within_group_loo,Neutral
280.5,TD,-0.13479422390861956,-0.22736406976208895,-0.042224378055150155,,within_group_loo,Neutral
280.5,ASD,0.11490860251462252,-0.020032106000534525,0.24984931102977959,,within_group_loo,Neutral
281.0,TD,-0.08381617730322241,-0.17242434914511942,0.004791994538674599,,within_group_loo,Neutral
281.0,ASD,0.07083204720986025,-0.062173001272156025,0.20383709569187652,,within_group_loo,Neutral
281.5,TD,-0.08604086756256411,-0.1674644895732244,-0.004617245551903806,,within_group_loo,Neutral
281.5,ASD,-0.05282962333621683,-0.16202392872579827,0.05636468205336461,,within_group_loo,Neutral
282.0,TD,-0.06371900437051962,-0.15000812526673385,0.0225701165256946,,within_group_loo,Neutral
