frequency_hz,group,n_subjects,mean_log10_psd,sem_log10_psd,ci95_low_log10_psd,ci95_high_log10_psd
22.5,TD,77,-0.3959889990764809,0.022125899313439324,-0.43935576173082197,-0.3526222364221398
23.0,TD,77,-0.4273481910638192,0.021415226497220118,-0.46932203499837066,-0.38537434712926777
23.5,TD,77,-0.4604461170860112,0.021524262791231444,-0.5026336721568249,-0.41825856201519757
24.0,TD,77,-0.48141945883104603,0.021503166401469678,-0.5235656649779266,-0.43927325268416545
24.5,TD,77,-0.49731797797266447,0.020787775508964726,-0.5380620179702353,-0.4565739379750936
25.0,TD,77,-0.5264300027644058,0.02092871783486235,-0.567450289720736,-0.48540971580807557
25.5,TD,77,-0.5493871540927897,0.02154376561685942,-0.5916129347018342,-0.5071613734837452
26.0,TD,77,-0.5697951785776575,0.021508228899663362,-0.6119513072209977,-0.5276390499343173
26.5,TD,77,-0.5965218011845079,0.021951157482763363,-0.6395460698507242,-0.5534975325182917
27.0,TD,77,-0.6104712784756673,0.02269851015041017,-0.6549603583704712,-0.5659821985808634
27.5,TD,77,-0.6257166071007514,0.022352560384213578,-0.66952762545381,-0.5819055887476928
28.0,TD,77,-0.6361936808042365,0.021601497864978194,-0.6785326166195939,-0.5938547449888792
28.5,TD,77,-0.6444609991438012,0.02218474210567532,-0.6879430936709248,-0.6009789046166776
29.0,TD,77,-0.6618309728625166,0.023109591083885793,-0.7071257713869328,-0.6165361743381004
29.5,TD,77,-0.6740820585498548,0.023580562186029257,-0.7202999604344722,-0.6278641566652374
30.0,TD,77,-0.6844298945364548,0.024628318404344852,-0.7327013986089707,-0.6361583904639388
30.5,TD,77,-0.6943547623128801,0.025164856872663798,-0.7436778817833011,-0.6450316428424591
31.0,TD,77,-0.7112121738976789,0.024873379100847377,-0.7599639969353398,-0.662460350860018
31.5,TD,77,-0.7290585619290162,0.025070852059392055,-0.7781974319654246,-0.6799196918926078
32.0,TD,77,-0.7547325069433989,0.0241350880558398,-0.8020372795328449,-0.7074277343539529
32.5,TD,77,-0.7752056379323646,0.024044462989407527,-0.8223327853916034,-0.7280784904731259
33.0,TD,77,-0.7850863896469062,0.02385410335369556,-0.8318404322201496,-0.7383323470736629
33.5,TD,77,-0.8075084946433354,0.022994807189847078,-0.8525783167354357,-0.7624386725512351
34.0,TD,77,-0.8134498958754175,0.023717965611055852,-0.8599371084730869,-0.7669626832777481
34.5,TD,77,-0.8287306843860008,0.025983691589456702,-0.8796587199013359,-0.7778026488706657
35.0,TD,77,-0.8507150485525583,0.02665709414124775,-0.9029629530694039,-0.7984671440357127
35.5,TD,77,-0.8572021107393137,0.027052768114990168,-0.9102255362446945,-0.804178685233933
36.0,TD,77,-0.8717265508447225,0.027296775613787135,-0.9252282310477453,-0.8182248706416997
36.5,TD,77,-0.8764758532156002,0.026998345533548202,-0.9293926104613547,-0.8235590959698457
37.0,TD,77,-0.8960067685138406,0.02774187871957309,-0.9503808508042039,-0.8416326862234774
37.5,TD,77,-0.9051987235313613,0.02821333736740261,-0.9604968647714704,-0.8499005822912522
38.0,TD,77,-0.9134241617331585,0.02843429436690421,-0.9691553786922908,-0.8576929447740262
38.5,TD,77,-0.922539416297925,0.02910570784950412,-0.9795866036829531,-0.8654922289128969
39.0,TD,77,-0.9252099965236519,0.02806014283512055,-0.9802078764804881,-0.8702121165668156
39.5,TD,77,-0.9331799803960532,0.029504731769499828,-0.9910092546642729,-0.8753507061278335
40.0,TD,77,-0.9419608907649089,0.030107079969879835,-1.0009707675058732,-0.8829510140239444
